"da_key","en","uk","ar","fa","ur","pl","de"
"Administrativ assistent","Administrative assistant","","مساعد إداري","","","",""
"Administrativt arbejde","Administrative work","","عمل إداري","","","",""
"Administrativt sundhedsarbejde","Administrative healthcare work","","عمل إداري في القطاع الصحي","","","",""
"Aftenskolelærer","Evening school teacher","","مدرس مدرسة مسائية","","","",""
"Akademisk arbejde","Academic work","","العمل الأكاديمي","","","",""
"Anlægsarbejde","Civil works","","أعمال الهندسة المدنية","","","",""
"Anlægsgartner","Landscape gardener","","بستاني مناظر طبيعية","","","",""
"Anlægsgartnerarbejde, produktion","Landscape gardening production work","","أعمال إنتاج في تنسيق الحدائق","","","",""
"Anlægsstruktør","Civil engineering structure worker","","عامل هياكل الهندسة المدنية","","","",""
"Arbejdsleder, bygge og anlæg","Construction site supervisor","","مشرف موقع بناء","","","",""
"Automekaniker","Auto mechanic","","ميكانيكي سيارات","","","",""
"Bartender","Bartender","","ساقي (بارتندر)","","","",""
"Begravelses- og kirkegårdsarbejde","Cemetery and funeral service work","","أعمال المقابر وخدمات الجنازات","","","",""
"Behandling og genoptræning","Treatment and rehabilitation","","العلاج وإعادة التأهيل","","","",""
"Biblioteks- og museumsarbejde","Library and museum work","","أعمال المكتبات والمتاحف","","","",""
"Bil- og varevognschauffør til vareudbringning","Van and delivery driver","","سائق سيارة أو شاحنة توصيل","","","",""
"Bogholderi- og regnskabsarbejde","Bookkeeping and accounting work","","أعمال مسك الدفاتر والمحاسبة","","","",""
"Brolægger","Paver","","رصاف طرق","","","",""
"Budarbejde mv.","Delivery work and related roles","","أعمال التوصيل وما شابهها","","","",""
"Buschauffør","Bus driver","","سائق حافلة","","","",""
"Butiksassistent","Shop assistant","","مساعد متجر","","","",""
"Butiksekspedition","Retail sales work","","مبيعات التجزئة","","","",""
"Butiksmedhjælper","Shop assistant helper","","معاون متجر","","","",""
"Bygge og anlæg","Construction and civil works","","البناء والهندسة المدنية","","","",""
"Byggeleder","Construction manager","","مدير بناء","","","",""
"Bygningsarbejde mv.","Building work and related roles","","أعمال البناء وما شابهها","","","",""
"Bygningsmaler","Building painter","","دهان مباني","","","",""
"Børnepasning","Childcare","","رعاية الأطفال","","","",""
"Børnepasser","Childminder","","جليس أطفال","","","",""
"Cafemedarbejder","Cafe worker","","موظف مقهى","","","",""
"Callcentermedarbejder","Call center worker","","موظف مركز اتصال","","","",""
"Chauffør, fragt, distribution, blandet kørsel","Driver, freight, distribution, mixed driving","","سائق شحن وتوزيع","","","",""
"Chauffør, persontransport","Driver, passenger transport","","سائق نقل ركاب","","","",""
"Chauffør, specialtransport","Driver, special transport","","سائق نقل خاص","","","",""
"Driftsplanlægger","Operations planner","","مخطط عمليات","","","",""
"Ejendomsservice og måleraflæsning","Property services and meter reading","","خدمات العقارات وقراءة العدادات","","","",""
"Ekspedient","Sales clerk","","موظف مبيعات","","","",""
"Elektriker","Electrician","","كهربائي","","","",""
"Elektrikerarbejde","Electrical work","","أعمال كهربائية","","","",""
"Elever","Students and trainees","","طلاب ومتدربون","","","",""
"Elever: Hotel, restauration, køkken, kantine","Trainees: hotel, restaurant, kitchen, and canteen","","متدربون: الفنادق والمطاعم والمطابخ","","","",""
"Elever: Kontor, administration, regnskab og finans","Trainees: office, administration, accounting, and finance","","متدربون: المكتب والإدارة والمحاسبة","","","",""
"Elever: Pædagogisk, socialt og teologisk arbejde","Trainees: pedagogical, social, and theological work","","متدربون: العمل التربوي والاجتماعي واللاهوتي","","","",""
"Elever: Sundhed, omsorg og personlig pleje","Trainees: health, care, and personal support","","متدربون: الصحة والرعاية الشخصية","","","",""
"Ernæringsassistent","Nutrition assistant","","مساعد تغذية","","","",""
"Ernæringsassistentelev","Nutrition assistant trainee","","متدرب مساعد تغذية","","","",""
"Fastfood ekspedient","Fast food counter assistant","","موظف وجبات سريعة","","","",""
"Flyklarerer","Flight dispatcher","","موظف تجهيز طائرات","","","",""
"Flyveleder","Air traffic controller","","مراقب حركة جوية","","","",""
"Folkeskolelærer","Primary and lower secondary school teacher","","مدرس مرحلة أساسية","","","",""
"Forskning og universitetsundervisning, naturvidenskab og teknik","Research and university teaching in natural sciences and engineering","","البحث والتدريس الجامعي في العلوم الطبيعية والهندسة","","","",""
"Forskning og universitetsundervisning, samfundsvidenskab","Research and university teaching in social sciences","","البحث والتدريس الجامعي في العلوم الاجتماعية","","","",""
"Foto- og kameraarbejde","Photography and camera work","","أعمال التصوير والكاميرا","","","",""
"Fuldmægtig","Senior administrative officer","","موظف إداري أول","","","",""
"Grov- og klejnsmedearbejde mv.","Metalworking and blacksmithing work and related roles","","أعمال الحدادة والمعادن","","","",""
"Handicaphjælper","Disability support assistant","","مساعد رعاية ذوي الاحتياجات الخاصة","","","",""
"Hospitalsserviceassistent","Hospital service assistant","","مساعد خدمات مستشفى","","","",""
"Hotel, restauration, køkken, kantine","Hotel, restaurant, kitchen, and canteen","","الفنادق والمطاعم والمطابخ","","","",""
"Industriel produktion","Industrial production","","الإنتاج الصناعي","","","",""
"Industrislagter","Industrial butcher","","جزار صناعي","","","",""
"Ingeniørarbejde","Engineering work","","أعمال هندسية","","","",""
"Isoleringsarbejde","Insulation work","","أعمال العزل","","","",""
"It og teleteknik","IT and telecommunications engineering","","تكنولوجيا المعلومات والاتصالات","","","",""
"Jern, metal og auto","Metal, iron, and automotive work","","المعادن والسيارات","","","",""
"Juridisk arbejde","Legal work","","عمل قانوني","","","",""
"Jurist","Lawyer","","حقوقي / محامي","","","",""
"Kloakrørlægger","Sewer pipe layer","","عامل تمديد أنابيب صرف صحي","","","",""
"Kok","Cook","","طباخ","","","",""
"Kommunikation og erhvervssprogligt arbejde","Communication and business language work","","الاتصالات واللغات التجارية","","","",""
"Kontor- og sekretærarbejde","Office and secretarial work","","الأعمال المكتبية والسكرتارية","","","",""
"Kontor, administration, regnskab og finans","Office, administration, accounting, and finance","","المكتب والإدارة والمحاسبة والتمويل","","","",""
"Kontorelev, administration","Office administration trainee","","متدرب إدارة مكتبية","","","",""
"Kontormedarbejder","Office worker","","موظف مكتب","","","",""
"Kran-og truckførerarbejde","Crane and forklift operation","","تشغيل الرافعات والشاحنات الشوكية","","","",""
"Køkken- og kantinearbejde","Kitchen and canteen work","","أعمال المطبخ والمقصف","","","",""
"Køkkenassistent","Kitchen assistant","","مساعد مطبخ","","","",""
"Køkkenmedhjælper","Kitchen assistant","","مساعد مطبخ (معاون)","","","",""
"Lager- og logistikmedarbejder","Warehouse and logistics worker","","موظف مستودعات ولوجستيات","","","",""
"Lagerarbejde mv.","Warehouse work and related roles","","أعمال المستودعات وما شابهها","","","",""
"Landbrug, skovbrug, gartneri, fiskeri og dyrepleje","Agriculture, forestry, horticulture, fishing, and animal care","","الزراعة والغابات والصيد ورعاية الحيوان","","","",""
"Landbrugsmedhjælper","Farm assistant","","مساعد زراعي","","","",""
"Ledelse","Management","","الإدارة","","","",""
"Ledelse: Administration, strategi og personale","Management: administration, strategy, and personnel","","الإدارة: الإدارة والاستراتيجية والموظفين","","","",""
"Ledelse: Drift og produktion","Management: operations and production","","الإدارة: العمليات والإنتاج","","","",""
"Ledelse: Institution","Management: institution","","الإدارة: المؤسسات","","","",""
"Ledelse: Salg, indkøb og markedsføring","Management: sales, procurement, and marketing","","الإدارة: المبيعات والمشتريات والتسويق","","","",""
"Ledelse: Sundhedsområdet","Management: healthcare sector","","الإدارة: القطاع الصحي","","","",""
"Lufttransport","Air transport","","النقل الجوي","","","",""
"Læge","Doctor","","طبيب","","","",""
"Læge, tandlæge og dyrlæge","Doctor, dentist, and veterinarian","","طبيب وطبيب أسنان وطبيب بيطري","","","",""
"Malerarbejde","Painting work","","أعمال الدهان","","","",""
"Medico- og laboratoriearbejde","Medical device and laboratory work","","الأعمال الطبية والمخبرية","","","",""
"Medie, kultur, turisme, idræt og underholdning","Media, culture, tourism, sports, and entertainment","","الإعلام والثقافة والسياحة والرياضة والترفيه","","","",""
"Mekaniker","Mechanic","","ميكانيكي","","","",""
"Mekanikerarbejde, transport","Transport mechanic work","","ميكانيكا وسائل النقل","","","",""
"Mekanikerarbejde, øvrigt","General mechanic work","","أعمال ميكانيكية أخرى","","","",""
"Murer","Bricklayer","","بناء (طوب)","","","",""
"Murerarbejde","Bricklaying work","","أعمال البناء","","","",""
"Museumsmedhjælper","Museum assistant","","مساعد متحف","","","",""
"Nedriver","Demolition worker","","عامل هدم","","","",""
"Nærings- og nydelsesmiddel","Food and beverages","","الأغذية والمشروبات","","","",""
"Omsorgsmedhjælper","Care assistant","","مساعد رعاية","","","",""
"Overvågning og kontrol","Surveillance and control","","المراقبة والتحكم","","","",""
"PAU-elev","Pedagogical assistant trainee","","متدرب مساعد تربوي","","","",""
"Ph.d., naturvidenskab og teknik","PhD, natural sciences and engineering","","دكتوراه في العلوم الطبيعية والهندسة","","","",""
"Pleje og omsorg","Care and support","","العناية والرعاية","","","",""
"Produktionsmedarbejder","Production worker","","عامل إنتاج","","","",""
"Projektleder","Project manager","","مدير مشروع","","","",""
"Psykologarbejde","Psychology work","","العمل النفسي","","","",""
"Pædagog","Pedagogue","","تربوي (بيداغوجي)","","","",""
"Pædagogisk arbejde","Pedagogical work","","عمل تربوي","","","",""
"Pædagogisk assistent","Pedagogical assistant","","مساعد تربوي","","","",""
"Pædagogisk, socialt og kirkeligt arbejde","Pedagogical, social, and church-related work","","العمل التربوي والاجتماعي والكنيسي","","","",""
"Pædagogmedhjælper","Pedagogical assistant worker","","مساعد عمل تربوي","","","",""
"Rengøring mv.","Cleaning work and related roles","","التنظيف وما شابهه","","","",""
"Rengøring, ejendomsservice og renovation","Cleaning, property services, and waste management","","التنظيف وخدمات العقارات وإدارة النفايات","","","",""
"Rengøringsassistent","Cleaning assistant","","مساعد تنظيف","","","",""
"Rørlægger","Pipe layer","","سباك مواسير","","","",""
"Salg og indkøb","Sales and procurement","","المبيعات والمشتريات","","","",""
"Salg, indkøb og markedsføring","Sales, procurement, and marketing","","المبيعات والمشتريات والتسويق","","","",""
"Salgsassistent","Sales assistant","","مساعد مبيعات","","","",""
"Servering mv.","Serving work and related roles","","خدمات الضيافة وما شابهها","","","",""
"Slagter","Butcher","","جزار","","","",""
"Slagter- og fiskearbejde","Butchery and fish processing work","","أعمال الجزارة وتجهيز الأسماك","","","",""
"Snedker-, tømrer- og glasarbejde","Joinery, carpentry, and glazing work","","أعمال النجارة والزجاج","","","",""
"Social- og sundhedsassistent","Social and healthcare associate","","مساعد اجتماعي وصحي","","","",""
"Social- og sundhedsassistentelev","Social and healthcare associate trainee","","متدرب مساعد اجتماعي وصحي","","","",""
"Social- og sundhedshjælper","Social and healthcare assistant","","معاون اجتماعي وصحي","","","",""
"Social- og sundhedshjælperelev","Social and healthcare assistant trainee","","متدرب معاون اجتماعي وصحي","","","",""
"Socialpædagog","Social pedagogue","","تربوي اجتماعي","","","",""
"Socialrådgiver","Social worker","","باحث اجتماعي","","","",""
"Socialrådgivning mv.","Social work and related roles","","الاستشارات الاجتماعية وما شابهها","","","",""
"Specialarbejder, jord og beton","Construction worker, earth and concrete","","عامل متخصص في الخرسانة والتربة","","","",""
"Studentermedhjælp","Student assistant","","مساعد طالب","","","",""
"Sundhed, omsorg og personlig pleje","Health, care, and personal support","","الصحة والرعاية والعناية الشخصية","","","",""
"Sygepleje og jordemoderarbejde","Nursing and midwifery","","التمريض والقبالة","","","",""
"Sygeplejerske","Nurse","","ممرض / ممرضة","","","",""
"Sygeplejerske studerende","Nursing student","","طالب تمريض","","","",""
"Teamleder","Team leader","","قائد فريق","","","",""
"Tjener","Waiter","","نادل","","","",""
"Transport, post, lager- og maskinførerarbejde","Transport, postal, warehouse, and machine operation","","النقل والبريد والمستودعات وتشغيل الآلات","","","",""
"Truckfører","Forklift driver","","سائق شاحنة شوكية","","","",""
"Tværgående arbejde, bygge og anlæg","Cross-functional work in construction and civil works","","أعمال مشتركة في البناء والهندسة المدنية","","","",""
"Tværgående arbejde, industriel produktion","Cross-functional work in industrial production","","أعمال مشتركة في الإنتاج الصناعي","","","",""
"Tværgående arbejde, pædagogisk og socialt arbejde","Cross-functional pedagogical and social work","","أعمال تربوية واجتماعية مشتركة","","","",""
"Tværgående it-arbejde","Cross-functional IT work","","أعمال تقنية معلومات مشتركة","","","",""
"Tømrer","Carpenter","","نجار مباني","","","",""
"Undervisning i grundskoler","Teaching in primary and lower secondary schools","","التدريس في المدارس الابتدائية","","","",""
"Undervisning og vejledning","Teaching and guidance","","التدريس والإرشاد","","","",""
"Undervisningsassistent, naturvidenskab og teknik","Teaching assistant, natural sciences and engineering","","مساعد تدريس في العلوم والهندسة","","","",""
"Vagt","Security guard","","حارس أمن","","","",""
"Vagt, sikkerhed og overvågning","Guarding, security, and surveillance","","الحراسة والأمن والمراقبة","","","",""
"Vejtransport","Road transport","","النقل البري","","","",""
"Visual merchandiser","Visual merchandiser","","منسق عرض بصري","","","",""
"Vvs og blik","Plumbing and sheet metal work","","السباكة وأعمال الصفيح","","","",""
"VVS-montør","Plumber","","سباك (VVS)","","","",""
"Vært/Værtinde","Host/hostess","","مضيف / مضيفة","","","",""
"Økonomi og revision","Finance and auditing","","المالية والمراجعة","","","",""
"Øvrig undervisning","Other teaching","","تدريس آخر","","","",""
"Øvrigt hospitalsarbejde","Other hospital work","","أعمال مستشفى أخرى","","","",""
"Øvrigt hotel-, køkken- og husholdningsarbejde","Other hotel, kitchen, and household work","","أعمال فندقية ومطبخية ومنزلية أخرى","","","",""
